h	8	4	-14.6	0.5
g	8	5	13.4	0.4
h	8	5	16.2	-0.2
g	8	6	11.7	0.1
h	8	6	5.7	-0.3
g	8	7	-15.9	-0.4
h	8	7	-9.1	0.3
g	8	8	-2.0	0.3
h	8	8	2.1	0.0
g	9	0	5.4	0.0
g	9	1	8.8	0.0
h	9	1	-21.6	0.0
g	9	2	3.1	0.0
h	9	2	10.8	0.0
g	9	3	-3.3	0.0
h	9	3	11.8	0.0
g	9	4	0.7	0.0
h	9	4	-6.8	0.0
g	9	5	-13.3	0.0
h	9	5	-6.9	0.0
g	9	6	-0.1	0.0
h	9	6	7.8	0.0
g	9	7	8.7	0.0
h	9	7	1.0	0.0
g	9	8	-9.1	0.0
h	9	8	-4.0	0.0
g	9	9	-10.5	0.0
h	9	9	8.4	0.0
g	10	0	-1.9	0.0
g	10	1	-6.3	0.0
h	10	1	3.2	0.0
g	10	2	0.1	0.0
h	10	2	-0.4	0.0
g	10	3	0.5	0.0
h	10	3	4.6	0.0
g	10	4	-0.5	0.0
h	10	4	4.4	0.0
g	10	5	1.8	0.0
h	10	5	-7.9	0.0
g	10	6	-0.7	0.0
h	10	6	-0.6	0.0
g	10	7	2.1	0.0
h	10	7	-4.2	0.0
g	10	8	2.4	0.0
h	10	8	-2.8	0.0
g	10	9	-1.8	0.0
h	10	9	-1.2	0.0
g	10	10	-3.6	0.0
h	10	10	-8.7	0.0
g	11	0	3.1	0.0
g	11	1	-1.5	0.0
h	11	1	-0.1	0.0
g	11	2	-2.3	0.0
h	11	2	2.0	0.0
g	11	3	2.0	0.0
h	11	3	-0.7	0.0
g	11	4	-0.8	0.0
h	11	4	-1.1	0.0
g	11	5	0.6	0.0
h	11	5	0.8	0.0
g	11	6	-0.7	0.0
h	11	6	-0.2	0.0
g	11	7	0.2	0.0
h	11	7	-2.2	0.0
g	11	8	1.7	0.0
h	11	8	-1.4	0.0
g	11	9	-0.2	0.0
h	11	9	-2.5	0.0
g	11	10	0.4	0.0
h	11	10	-2.0	0.0
g	11	11	3.5	0.0
h	11	11	-2.4	0.0
g	12	0	-1.9	0.0
